"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"102423","21-0015826",0,"2021-03-26","13:41:28","111","Building fire",1000,0,"08","DO","Dorchester","02124","400","Residential, Other","380","","TALBOT","","AVE","","","","","",1000,1
"102508","21-0015512",0,"2021-03-25","04:06:25","111","Building fire",500000,5000,"07","DO","Dorchester","02122","519","Food and beverage sales, grocery store","","","BOWDOIN","","ST","","","OLNEY","","ST",505000,1
"102569","21-0015618",0,"2021-03-25","14:26:41","111","Building fire",3000,2000,"07","DO","Dorchester","02125","000","Property Use, Other","78","","GLENDALE","","ST","","","","","",5000,1
"102617","21-0015693",0,"2021-03-25","20:24:31","131","Passenger vehicle fire",20000,3000,"06","SB","South Boston","02127","960","Street, Other","","","COLUMBIA","","RD","","","MERCER","","ST",23000,1
"102953","21-0014999",0,"2021-03-22","14:14:05","111","Building fire",125000,75000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","163","","BEAVER","","ST","","","","","",200000,1
"102964","21-0015020",0,"2021-03-22","15:36:31","113","Cooking fire, confined to container",0,50000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","41","","NEPONSET","","AVE","","","","","",50000,1
"103012","21-0015093",0,"2021-03-22","23:38:31","111","Building fire",10000,0,"07","DO","Dorchester","02125","429","Multifamily dwelling","52","","SUMNER","","ST","","","","","",10000,1
"103017","21-0014712",0,"2021-03-21","00:33:58","114","Chimney or flue fire, confined to chimney or flue",500,500,"04","BO","Boston","02116","429","Multifamily dwelling","25","","HOLYOKE","","ST","","","","","",1000,1
"103023","21-0014724",0,"2021-03-21","02:37:47","131","Passenger vehicle fire",2500,2500,"03","CH","Charlestown","00000","961","Highway or divided highway","","","INTERSTATE 93","N","",": @NB I93 AT EXIT 20 (OLD EXIT 28)","","","","",5000,1
"103040","21-0014756",0,"2021-03-21","09:55:24","113","Cooking fire, confined to container",1000,100,"09","RX","Roxbury","02119","429","Multifamily dwelling","280","","MARTIN LUTHER KING JR","","BLVD",": #13-2159","","","","",1100,1
"103103","21-0014863",0,"2021-03-21","20:13:03","111","Building fire",5000,0,"09","JP","Jamaica Plain","02130","419","1 or 2 family dwelling","23","","HOLBROOK","","ST","","","","","",5000,1
"103147","21-0014553",0,"2021-03-20","07:47:10","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","11-25","E","NEWTON","","ST","","","","","",500,1
"103219","21-0014707",0,"2021-03-20","23:39:21","111","Building fire",50000,50000,"06","SB","South Boston","02210","449","Hotel/motel, commercial","100","","PIER 4","","BLVD",": #CLM808","","","","",100000,1
"103298","21-0014461",0,"2021-03-19","17:57:33","131","Passenger vehicle fire",17000,3000,"11","BR","Allston-Brighton","02135","962","Residential street, road or residential driveway","60","","GLENCOE","","ST","","","","","",20000,1
"103339","21-0014133",0,"2021-03-18","06:21:38","131","Passenger vehicle fire",1000,1000,"04","BO","Boston","02215","963","Street or road in commercial area","55","","JERSEY","","ST","","","","","",2000,1
"103421","21-0014266",0,"2021-03-18","18:41:01","131","Passenger vehicle fire",10000,1000,"03","BO","Boston","02114","921","Bridge, trestle","","","INTERSTATE 93","S","",": @SB I93 AT ZAKIM BRG","","","","",11000,1
"103511","21-0013991",0,"2021-03-17","13:08:18","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","549","","COLUMBUS","","AVE","","","","","",500,1
"103540","21-0014047",0,"2021-03-17","17:39:18","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02115","161","Restaurant or cafeteria","180-194","","MASSACHUSETTS","","AVE","","","","","",500,1
"103573","21-0014096",0,"2021-03-17","22:20:11","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","439","Boarding/rooming house, residential hotels","526","","MASSACHUSETTS","","AVE","","","","","",500,1
"103632","21-0013426",1,"2021-03-14","13:54:29","111","Building fire",20000,0,"08","","","02124","429","Multifamily dwelling","14","","HARVARD","","ST","","","","","",20000,1
"103649","21-0013819",0,"2021-03-16","14:23:47","111","Building fire",4000,1000,"09","RX","Roxbury","02119","429","Multifamily dwelling","16","","KENSINGTON","","ST","","","","","",5000,1
"103670","21-0013866",0,"2021-03-16","18:20:48","113","Cooking fire, confined to container",5000,1000,"08","MT","Mattapan","02126","429","Multifamily dwelling","40","","FAIRLAWN","","AVE","","","","","",6000,1
"103691","21-0013899",0,"2021-03-16","22:51:16","151","Outside rubbish, trash or waste fire",500,15,"06","SB","South Boston","02127","429","Multifamily dwelling","1440","","COLUMBIA","","RD","","","","","",515,1
"103726","21-0013556",0,"2021-03-15","08:03:07","113","Cooking fire, confined to container",5000,5000,"09","JP","Jamaica Plain","02130","460","Dormitory-type residence, other","295","","CENTRE","","ST","","","","","",10000,1
"103748","21-0013587",0,"2021-03-15","10:38:03","111","Building fire",350000,100000,"09","JP","Jamaica Plain","02130","419","1 or 2 family dwelling","8","","SUNNYSIDE","","ST","","","","","",450000,1
"103753","21-0013594",0,"2021-03-15","10:56:18","131","Passenger vehicle fire",20000,1000,"03","BO","Boston","02111","961","Highway or divided highway","","","AVENUE DE LAFAYETTE","","","","","CHAUNCY","","ST",21000,1
"103772","21-0013620",0,"2021-03-15","13:08:14","131","Passenger vehicle fire",2000,5000,"06","SB","South Boston","02210","961","Highway or divided highway","525","","CONGRESS","","ST",": @MBTA STA-WORLD TRADE CENTER","","","","",7000,1
"103843","21-0013345",0,"2021-03-14","00:50:28","111","Building fire",2000,0,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","","","CHAMPNEY","","ST","","","JUSTIN","","RD",2000,1
"103891","21-0013426",0,"2021-03-14","13:54:29","111","Building fire",80000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","18","","HARVARD","","ST","","","","","",80000,1
"103957","21-0013175",0,"2021-03-13","05:23:01","131","Passenger vehicle fire",3000,500,"08","MT","Mattapan","02126","960","Street, Other","9","","DR. MARY MOORE BEATTY","","CIR","","","","","",3500,1
"103964","21-0013188",0,"2021-03-13","08:07:18","111","Building fire",200000,50000,"08","MT","Mattapan","02126","429","Multifamily dwelling","39","","CLARKWOOD","","ST","","","","","",250000,1
"104000","21-0013251",0,"2021-03-13","15:03:14","113","Cooking fire, confined to container",3000,2000,"11","BR","Allston-Brighton","02135","400","Residential, Other","30","","WALLINGFORD","","RD",": #12-5331","","","","",5000,1
"104013","21-0013272",0,"2021-03-13","16:00:23","131","Passenger vehicle fire",6000,1000,"07","DO","Dorchester","02125","962","Residential street, road or residential driveway","","","BEAUFORD","","LN","","","HOWARD","","AVE",7000,1
"104032","21-0013301",0,"2021-03-13","18:03:09","112","Fires in structure other than in a building",0,800,"04","BO","Boston","02115","400","Residential, Other","165","","HEMENWAY","","ST","","","","","",800,1
"104071","21-0012941",0,"2021-03-12","07:20:34","111","Building fire",1000,0,"09","RX","Roxbury","02121","419","1 or 2 family dwelling","13","","WABON","","ST","","","","","",1000,1
"104094","21-0012984",0,"2021-03-12","11:06:56","111","Building fire",25000,5000,"09","RX","Roxbury","02120","429","Multifamily dwelling","15","","SHEPHERD","","AVE","","","","","",30000,1
"104134","21-0013066",0,"2021-03-12","16:49:18","111","Building fire",2000,0,"06","SB","South Boston","02127","429","Multifamily dwelling","627A","","DORCHESTER","","AVE","","","","","",2000,1
"104173","21-0013144",0,"2021-03-12","23:01:01","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","439","Boarding/rooming house, residential hotels","526","","MASSACHUSETTS","","AVE","","","","","",500,1
"104183","21-0012706",0,"2021-03-11","01:23:24","111","Building fire",7500,7500,"06","SB","South Boston","02127","449","Hotel/motel, commercial","6","W","BROADWAY","","",": #12-7138","","","","",15000,1
"104206","21-0012736",0,"2021-03-11","08:14:57","111","Building fire",0,3000,"03","BO","Boston","02114","174","Rapid transit station","100","","LEGENDS","","WAY",": @BLDG-TD GARDEN","","","","",3000,1
"104227","21-0012772",0,"2021-03-11","10:38:43","111","Building fire",5000,1000,"12","WR","West Roxbury","02132","519","Food and beverage sales, grocery store","1435","","VFW","","PKWY",": @DUNKIN - 1435 VFW PKWY, WR","","","","",6000,1
"104230","21-0012775",0,"2021-03-11","10:55:51","111","Building fire",50000,5000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","11","","BRAEBURN","","RD","","","","","",55000,1
"104239","21-0012784",0,"2021-03-11","11:33:37","131","Passenger vehicle fire",1000,0,"08","DO","Dorchester","02124","960","Street, Other","","","HILL TOP","","ST","","","LENOXDALE","","AVE",1000,1
"104399","21-0012649",0,"2021-03-10","17:50:30","111","Building fire",5000,0,"07","DO","Dorchester","02122","808","Outbuilding or shed","18","","NEPONSET","","AVE","","","","","",5000,1
"104447","21-0012320",0,"2021-03-09","08:18:40","111","Building fire",425000,75000,"12","JP","Jamaica Plain","02130","429","Multifamily dwelling","","","WACHUSETT","","ST","","","ELDRIDGE","","RD",500000,1
"104505","21-0012415",0,"2021-03-09","15:10:01","132","Road freight or transport vehicle fire",2000,0,"11","BR","Allston-Brighton","02134","961","Highway or divided highway","49","","CAMBRIDGE","","ST","","","","","",2000,1
"104529","21-0012465",0,"2021-03-09","19:46:05","118","Trash or rubbish fire, contained",250,250,"04","BO","Boston","02116","429","Multifamily dwelling","465","","COLUMBUS","","AVE","","","","","",500,1
"104531","21-0012468",0,"2021-03-09","19:57:40","131","Passenger vehicle fire",2000,0,"07","DO","Dorchester","02122","965","Vehicle parking area","500","","GENEVA","","AVE","","","","","",2000,1
"104545","21-0012485",0,"2021-03-09","22:12:08","111","Building fire",40000,10000,"08","DO","Dorchester","02124","429","Multifamily dwelling","12","","SHEPTON","","ST","","","","","",50000,1
"104601","21-0012207",0,"2021-03-08","14:53:29","131","Passenger vehicle fire",10000,1000,"08","DO","Dorchester","02124","961","Highway or divided highway","","","INTERSTATE 93","S","",": @SB I93 AT EXIT 11A","","","","",11000,1
"104602","21-0012209",0,"2021-03-08","15:02:15","111","Building fire",500000,5000,"07","DO","Dorchester","02121","429","Multifamily dwelling","16","","ROSSETER","","ST","","","","","",505000,1
"104633","21-0012269",0,"2021-03-08","21:48:22","111","Building fire",750000,50000,"09","RX","Roxbury","02120","429","Multifamily dwelling","59","","PONTIAC","","ST","","","","","",800000,1
"104648","21-0011948",0,"2021-03-07","00:01:15","111","Building fire",400000,20000,"12","RS","Roslindale","02131","419","1 or 2 family dwelling","17","","MURRAY HILL","","RD","","","","","",420000,1
"104721","21-0012077",0,"2021-03-07","18:14:42","131","Passenger vehicle fire",15000,0,"07","RX","Roxbury","02121","965","Vehicle parking area","","","WARREN","","ST","","","QUINCY","","ST",15000,1
"104742","21-0012110",0,"2021-03-07","22:46:19","131","Passenger vehicle fire",5000,5000,"06","SB","South Boston","02127","960","Street, Other","270","","MONSIGNOR DENNIS F. O'CAL","","WAY","","","","","",10000,1
"104841","21-0011601",0,"2021-03-05","00:30:45","111","Building fire",50000,10000,"01","EB","East Boston","02128","400","Residential, Other","142","","PRINCETON","","ST","","","","","",60000,1
"105006","21-0011527",0,"2021-03-04","14:56:43","131","Passenger vehicle fire",3500,0,"08","DO","Dorchester","02124","459","Residential board and care","2262","","DORCHESTER","","AVE","","","","","",3500,1
"105034","21-0011571",0,"2021-03-04","19:17:31","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","168","W","SPRINGFIELD","","ST","","","","","",500,1
"105036","21-0011575",0,"2021-03-04","19:59:49","111","Building fire",25000,5000,"09","RX","Roxbury","02121","429","Multifamily dwelling","55","","ELM HILL","","AVE","","","","","",30000,1
"105069","21-0011279",0,"2021-03-03","09:24:58","111","Building fire",5000,2000,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","106","","DANA","","AVE","","","","","",7000,1
"105086","21-0011309",0,"2021-03-03","11:59:15","111","Building fire",60000,0,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","55","","IFFLEY","","RD","","","","","",60000,1
"105336","21-0010835",0,"2021-03-01","08:09:36","131","Passenger vehicle fire",10000,0,"09","RX","Roxbury","02115","960","Street, Other","800","","HUNTINGTON","","AVE","","","","","",10000,1
"105363","21-0010874",0,"2021-03-01","11:00:22","111","Building fire",15000,10000,"01","EB","East Boston","02128","000","Property Use, Other","197","","CHELSEA","","ST","","","","","",25000,1
"105391","21-0010930",0,"2021-03-01","14:29:10","113","Cooking fire, confined to container",500,0,"12","RS","Roslindale","02131","429","Multifamily dwelling","4577","","WASHINGTON","","ST","","","","","",500,1
"105405","21-0010953",0,"2021-03-01","16:28:43","111","Building fire",500000,100000,"07","RX","Roxbury","02119","429","Multifamily dwelling","25","","SOUTHWOOD","","ST","","","","","",600000,1
"105518","21-0010783",0,"2021-02-28","20:56:01","111","Building fire",10000,15000,"11","BR","Allston-Brighton","02135","511","Convenience store","207","","MARKET","","ST",": @CVS/PHARMACY -  207 MARKET ST, BR","","","","",25000,1
"105530","21-0010469",0,"2021-02-27","00:06:55","111","Building fire",10000,0,"07","DO","Dorchester","02125","160","Eating, drinking places, other","935","","DORCHESTER","","AVE","","","","","",10000,1
"105549","21-0010509",0,"2021-02-27","08:29:08","111","Building fire",200000,40000,"12","WR","West Roxbury","02132","429","Multifamily dwelling","5081","","WASHINGTON","","ST","","","","","",240000,1
"105616","21-0010618",0,"2021-02-27","20:36:36","131","Passenger vehicle fire",8000,200,"08","MT","Mattapan","02126","962","Residential street, road or residential driveway","","","TEMPLE","","ST","","","SANFORD","","ST",8200,1
"105624","21-0010628",0,"2021-02-27","21:34:28","113","Cooking fire, confined to container",500,750,"04","BO","Boston","02215","460","Dormitory-type residence, other","22","","BUSWELL","","ST",": #BU331","","","","",1250,1
"105715","21-0010420",0,"2021-02-26","17:03:33","112","Fires in structure other than in a building",0,5000,"03","BO","Boston","02114","500","Mercantile, business, Other","","","NEW CHARDON","","ST","","","BOWKER","","ST",5000,1
"105720","21-0010433",0,"2021-02-26","19:26:00","113","Cooking fire, confined to container",1000,0,"09","RX","Roxbury","02120","429","Multifamily dwelling","8","","OSWALD","","ST","","","","","",1000,1
"105739","21-0010463",0,"2021-02-26","22:29:16","111","Building fire",500,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","28","","LYON","","ST",":1ST FLR","","","","",500,1
"105794","21-0010222",0,"2021-02-25","13:20:47","111","Building fire",100000,50000,"07","DO","Dorchester","02121","429","Multifamily dwelling","94-96","","INTERVALE","","ST","","","","","",150000,1
"105824","21-0010279",0,"2021-02-25","19:34:47","111","Building fire",3000,0,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","47","","BADGER","","RD","","","","","",3000,1
"105917","21-0010057",0,"2021-02-24","16:09:03","441","Heat from short circuit (wiring), defective/worn",2000,0,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","3","","GLADESIDE","","TER","","","","","",2000,1
"105925","21-0010074",0,"2021-02-24","17:28:12","111","Building fire",50000,50000,"04","BO","Boston","02116","161","Restaurant or cafeteria","161","","BERKELEY","","ST","","","","","",100000,1
"105940","21-0010100",0,"2021-02-24","19:08:35","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","429","Multifamily dwelling","45","E","NEWTON","","ST",": #12-1652","","","","",500,1
